id,ulasan,tanggal
1226,petugas menolak dan tidak mau menerima Tips padahal saya ikhlas ngasih..sebagai apresiasi dari hasil pekerjaan yg MEMUASKAN...🫰🫰🫰🫰,2025-10-01
1227,aplikasi sangat bagus....untuk urusan listrik,2025-10-01
1228,aplikasi yg bagus,2025-10-01
1229,pln mobil mempermudahkan pembayaran listrik,2025-10-01
1230,dengan adanya aplikasi ini sangat membantu saya untuk meregistrasi pengajuan permohonan pasang baru listrik Terima kasih PLN mo.. 😇😇😇,2025-10-01
1231,pokoke matab.. semoga ada promo discount lagi🙏🙏🙏,2025-10-01
1232,saya lapor lewat aplikasi ini ttg listrik padam n ternyata listrik blm menyala kok diketerangan aduan dibatalkan oleh pelanggan itu bagaimana ceritanya,2025-10-01
1233,PLN mobile kren mantap👌,2025-10-01
1234,PLN mobile Terima kasih.. Sudah membantu masyarakat.. Semoga kedepannya lebih di permudah penggunaanya...,2025-10-01
1235,pln mobile terbaik,2025-10-01
1236,Mudah dan praktis,2025-10-01
1237,PLN mobile is the best,2025-10-01
1238,PLN Mobile terbaik,2025-10-01
1239,semakin maju dan terbaik PLN punya aplikadi ini,2025-10-01
1240,PLN mobile sangat membantu dalam laporan,2025-10-01
1241,Sangat membantu kami 👍,2025-10-01
1242,Klo matikan listrik tuh ijin dulu bos! Orang lagi kerja! Gak semua pake laptop!,2025-10-01
1243,Respon dan kerja petugasnya cepat,2025-10-01
1244,tehnisi PLN cepat datang dan pelayanan memuaskan,2025-10-01
1245,mohon bantuan listrik di desa tunjuk Tabanan drop,2025-10-01
1246,terimakasih . apk pln mobile memudahkan segalanya,2025-10-01
1247,sdh bagus agar LBH di tingkatkan LG pelayanannya...,2025-10-01
1248,PLN UP 3 wilayah Surabaya Utara The Best...pelayanan prima petugas ramah dan cekatan. Pokoknya PLN dihati masyarakat. sukses selalu PLN beserta Kru,2025-10-01
1249,Dengan menggunakan PLN mobile semuanya sudah teratasi,2025-10-01
1250,lumayan .. cuna lama nge cas nya,2025-10-01
1251,sangat membantu dan respon sangat cepat semoga layanannya semakin baik dan sukses selalu PLN,2025-10-01
1252,puas pelayanan cepat,2025-10-01
1253,lebih hemat dan nyaman,2025-10-01
1254,pelayan cepat tanggap,2025-10-01
1255,pelayanan sangat baik,2025-10-01
1256,aplikasi banyak sekali bug.,2025-10-01
1257,pelayanan cepat terima kasih,2025-10-01
1258,kenapa transaksinya dibatasi perhari??,2025-10-01
1259,pln mobail mantap,2025-10-01
1260,bagus sangatlah membantu,2025-10-01
1261,trimakasih sekali adanya apl pln mobeil sangat membatu sekali jga tak kalah penting petugas ramah dan benar2 tenaga ahli + profesional jga ganteng dan kece semangat terus petugas tehnik pln,2025-10-01
1262,aplikasi PLN mobile sangat membantu pelporan ganguan,2025-10-01
1263,sangat- sangant membantu.. aplikasi nya sangat mudah di gunakan.. banyak promo2 menarik.. pln mobile mantap❤️❤️❤️,2025-10-01
1264,detail dalam masalah penanganan dan cepat menuju ke lokasi,2025-10-01
1265,aplikasi sangat membantu disaat listrik gangguan kita bisa dengan mudah untuk pengaduan kepada PLN sekitar kita.,2025-10-01
1266,PLN mobile transaksi lebih mudah,2025-10-01
1267,plnmobael selalu inopasi terus yg baik,2025-10-01
1268,PLN selalu di depan,2025-10-01
1269,pelayanan sangat ramah,2025-10-01
1270,Terima kasih atas layanan yang telah di berikan pln sungguh tak pernah mengecewakan kami moga sukses selalu pln,2025-10-01
1271,terima kasih pln,2025-10-01
1272,trimaksih sdah ditanganibdengan baik dan cepat,2025-10-01
1273,Apk pln mobile bagus mudh di pahami interaktif & mempermudah pembayaran listrik pascabayar /token. tinggal rebahan tagihan listrik bs terbayarkan 🤭.,2025-10-01
1274,tambah daya dari aplikasi PLN cepat 2 hari langsung jadi.respon cepat.,2025-10-01
1275,Dengan PLNmobile mempermudah pembayaran listrik tidak harus mengeluarkan lagi biaya untuk keloket pembayaran listrik,2025-10-01
1276,sudah diselesaikan pelayanan dengan baik,2025-10-01
1277,aplikasi yg luar biasa.. smoga kedepan lebih baik lagi.,2025-10-01
1278,terimakasih banyak sudah mengatasi kendala di rumah kami,2025-10-01
1279,terima kasih pln pelayanannya cepat,2025-10-01
1280,PLN Mobile Makin Mantap,2025-10-01
1281,Respon cepat petugas PLN yg bertugas,2025-10-01
1282,mantap poll petugas PLN nya sangat gercep .the best pokoknya tengah malam jam 12 rumahku padam tetap di layani .terimakasih banyak lampu sudah nyala kembali proses secepat kilat,2025-10-01
1283,terimakasih dg adanya Aplikasi ini kami sangat terbantu,2025-10-01
1284,pelayanan 24 jam,2025-10-01
1285,ingin buat permohonan aja susah ulang2 ttp GK bisa mles.,2025-10-01
1286,pertama menggunakan masih adaptasi setelah sharing ke bagian informasi pln kota Malang jadi paham dan aplikasi ini sangat mudah dan respon cepat terimakasih terobosan seperti ini. saya sangat terbantukan. semangat,2025-10-01
1287,sekarang gagal bayar karena payment method not found,2025-10-01
1288,pln mobile adalah aplikasi terkomplit dan mudah untuk di gunakan dalam hal berkaitan dgn kelistrikan.,2025-10-01
1289,semoga jaya selalu dan terus menerangi indonesia,2025-10-01
1290,pln mobile sangat membantu utk bisa transaksi pembayaran...kalau bisa utk swacam bisa tidak d batasi?,2025-10-01
1291,selalu memberikan yg terbaik kapanpun dan dimanapun,2025-10-01
1292,terima kasih pak pln atas responnya,2025-10-01
1293,selalu dibantu dengan cepat menggunakan PLN Mobile,2025-10-01
1294,Mudah digunakan dan cepat,2025-10-01
1295,mau bayar tagihan ko ga bisa yah,2025-10-01
1296,pln semakin handal,2025-10-01
1297,dengan pln mobile bisa bayar tagihan kapan aja dan dimana saja !!,2025-10-01
1298,luar biasa bermanfaat,2025-10-02
1299,aplikasi pembayaran listrik yang bagussss,2025-10-02
1300,Aplikasi pln mobil sangat di butuhkan pelanggan untuk melaporkan segala gangguan,2025-10-02
1301,pakai pln mobile segala pembayaran kelistrikan semakain mudah...,2025-10-02
1302,PLN MOBILE TAMBAH KEREN,2025-10-02
1303,Lebih dipermudahkan lewat PLN mobile segala keluhan dan pelayanan kelistrikan lebih nyaman,2025-10-02
1304,pln mobile solusi mengatasi masalah kelistrikan dengan mudah dan cepat👍,2025-10-02
1305,PLN LUAR BIASA MANTAL APLIKASINYA SANGAT MENBANTU,2025-10-02
1306,Semakin baik semakin mudah cepat dan lebih baik,2025-10-02
1307,pln mobile lebih baik 👍,2025-10-02
1308,baik dan membantu,2025-10-02
1309,PLN mobile mantap!! sangat membantu sekali,2025-10-02
1310,aplikasi nya baik,2025-10-02
1311,pelayanan yang sangat baik,2025-10-02
1312,mari bersama kita bertransaksi di pln mobile karrna di sana semua ada,2025-10-02
1313,PLN mobile membantu sekali mengenai permasalahan kelistrikan,2025-10-02
1314,Pelayanan lebih baik tanpa repot ke kantor.,2025-10-02
1315,mudah dalam 1 genggaman.keren,2025-10-02
1316,Mempermudah dalam laporan keluhan pelanggan,2025-10-02
1317,semo tambah baik,2025-10-02
1318,selalu memenuhi kebutuhan pelanggan,2025-10-02
1319,nggak bisa bayar listrik lewat aplikasi ini padahal sudah di update sama aktivasi saldo pln nya,2025-10-02
1320,BAGUS N MEMBANTU,2025-10-02
1321,layanan prima dan cepat. excellent,2025-10-02
1322,aplikasinya mudah di gunakan sangat membantu,2025-10-02
1323,memudahkan dlm mendapat pelayanan dan informasi dr PLN .👍👍👍,2025-10-02
1324,Aplikasi pelengkap kehandalan kelistrikan,2025-10-02
1325,lapor ke PLN dari hari Rabu smpe hari tidak ad tanggapan yg memuaskan data di minta tp tidak ad info lanjutan,2025-10-02
1326,nambah lama nambah aneh..,2025-10-02
1327,aplikasi yg sangat membantu kebutuhan listrik,2025-10-02
1328,aplikasi yang sangat membantu.,2025-10-02
1329,bayar listrik makin asik di PLN mobile aja,2025-10-02
1330,pln mobile mantaappp....,2025-10-02
1331,gangguan lewat aplikasi pln mobile,2025-10-02
1332,tingkatkan pelayanan yang oke dan baik dan cepat,2025-10-02
1333,mudah digunakan dan aplikasi sangat membantu!!!! 👍👍👍👍,2025-10-02
1334,aplikasi sangat membantu cepat sekali,2025-10-02
1335,aplikasi sangat membantu sangat cepat,2025-10-02
1336,baik respan cepat..😁,2025-10-02
1337,Mantap Aplikasinya sangat membantu makasih,2025-10-02
1338,Oke jos mantap tks,2025-10-02
1339,aplikasi pln mobil sangat membantu mudah untuk transaksi pembayaran tagihan dan pembelian pulsa listrik,2025-10-02
1340,jadi mudah dengan Pln mobile.... mudah da menyenangkan,2025-10-02
1341,aplikasi ini mempermudah laporan. good job PLN,2025-10-02
1342,aplikasi. ini. ok,2025-10-02
1343,aplikasi nya rekom banget buat saya dengan pln mobile token listrik saya full selalu,2025-10-02
1344,pelayan cukup baik..,2025-10-02
1345,mantap pln semakin mudah,2025-10-02
1346,mudah di pakai apk ini,2025-10-02
1347,aplikasi masih sering eror/galbay,2025-10-02
1348,Laporan semakin mudah dan prakstis dalam satu genggaman...mantab,2025-10-02
1349,live chat ADMIN LELET 3.4 MNIT BRU DI BALES,2025-10-02
1350,PLN MOBILE 👍👍👍,2025-10-02
1351,aplikasi nya sangat membantu,2025-10-02
1352,mau bayar tagihan listrik kdg susah masuknya,2025-10-02
1353,aplikasi membantu pelanggan,2025-10-02
1354,pengaduan jadi makin mudah dgn pln mobile,2025-10-02
1355,lapor gangguan sekarang makin mudah...makasih pln mobile,2025-10-02
1356,Terimakasih pak atas tindakaknnya listrik kami sudah normal kembali,2025-10-02
1357,semua makin mudah,2025-10-02
1358,PLN terbaik sangat membantu,2025-10-02
1359,info tagihan rekening dr sini BS d cek dgn mudah,2025-10-02
1360,tambah daya lebi aman dan cepat dengan pln mobild di meju ubah daya dan mogras,2025-10-02
1361,Pelayanan aplikasi PLN Mobile sangat baik dan membantu .,2025-10-02
1362,payment method not found. GK bisa di bayar,2025-10-02
1363,memudahkan untuk melakukan pengaduan dan sangat membantu,2025-10-02
1364,aplikasi sangat bermanfaat dan bagus,2025-10-02
1365,aplikasi sangat membantu kami,2025-10-02
1366,pelayanan sangat bagus,2025-10-02
1367,aplikasinya sangat membantu,2025-10-02
1368,aplikasi yang bermanfaat,2025-10-02
1369,pln mobile terbaik,2025-10-02
1370,pln .memberikan pelayanan terbaik dgn pln mobile..,2025-10-02
1371,aplikasi nya bagus dan sangat membantu melaporkan masalah pln,2025-10-02
1372,mau bayar tagihan listrik sekarang sering eror di aplikasi pln mobile,2025-10-02
1373,nggak bisa buka voucher,2025-10-02
1374,lampu sudah menyala,2025-10-02
1375,cukup membantu sih karna daerah rumah saya sering sekali terjadi pemadaman listrik jadi gampang laporan nya,2025-10-02
1376,pln mobile pelayanan prima cepat mudah,2025-10-02
1377,aplikasi nya sangat membantu,2025-10-02
1378,sangat membantu untuk mengetahui tentang PLN,2025-10-02
1379,dengan adanya pln mobile semakin mudah,2025-10-02
1380,Terimakasih petugas pelayanan cepat,2025-10-02
1381,pln mobile pelayanan cepat,2025-10-02
1382,pln mobile sangat membantu saya dalam bekerja,2025-10-02
1383,pelayanan tepat waktu,2025-10-02
1384,aplikasi ini sangat membantu pelanggan dalam pelaporan kendala kelistrikan pln Istimewa,2025-10-02
1385,sudah update terbaru tapi kenapa untuk bayar tidak bisa ya? saat masuk ke payment selalu gagal,2025-10-02
1386,terima kasih pak satpam sudah dibantu laporan dari aplikasi PLN mobile,2025-10-02
1387,aplikasi nya sangat membantu dalam laporan listrik rumah saya,2025-10-02
1388,Bagus banget banyak promonya. mudah2an ada promo lagi di Oktober ini,2025-10-02
1389,aplikasi sangat bagus dan bermanfaat. pengaduan semakin mudah,2025-10-02
1390,Mudah / simple gak ribet. Aplikasi yanh bagus sekali,2025-10-02
1391,terima kasih pelayanan petugas gangguan ramah dan cepat,2025-10-02
1392,aplikasi pln mobile sangat bagus,2025-10-02
1393,Aplikasi PLN Mobil mudah dan mudah,2025-10-02
1394,PLN MOBILE layanan semakon mudah,2025-10-02
1395,pengaduan kwh meter,2025-10-02
1396,pelayanan nya yg memuaskan cepat tangggap terhadap laporan pelanggan semoga semakin mantap dan sangat membantu pelanggan semoga terus Jaya,2025-10-02
1397,cepat dan bagus pelayanannya. terima kasih untuk petugas lapangan,2025-10-02
1398,sangat bermanfaat 👍👍👍👍,2025-10-02
1399,PLN mantaap terbaik,2025-10-02
1400,pelayanan sangat bagus,2025-10-02
1401,smnjak adax aplikasi pln mobile saya sangat mudah untuk melakukan ganggguwan listrik & melakukan pemasangan baru . tambah daya pembelian token listrik tks pln mobile semoga kdoanx smangkin sukses,2025-10-02
1402,pln mobil mempermudah,2025-10-02
1403,pelayanan cepat dan ramah,2025-10-02
1404,aplikasi sangat mudah digunakan dan biaya admin sangat murah,2025-10-02
1405,terimakasih pak PLN Abung timur,2025-10-02
1406,pelayanan cepat petugas sigap ramah terselesaikan dgn cepat,2025-10-02
1407,terima kasi pln mobile memudah kan perubahan tambah daya listrik,2025-10-02
1408,laporan pengaduan listrik padam secara online,2025-10-02
1409,terimakasih pln atas playanan nyah,2025-10-02
1410,terimakasih atas bantuannya,2025-10-02
1411,aplika sangat membantu,2025-10-02
1412,Aplikasi nya sangat baik,2025-10-02
1413,terimakasih pln bojonggede,2025-10-02
1414,adanya aplikasi PLN mobile sangat membantu pelanggan,2025-10-02
1415,aplikasinya udah oke. cuman pelayanan PLN Rembang. saya datang jam 130 otomatis sudah selesai jam istirahat. yg standby cuman satu itupun jam 138 keluar. sampai jam 13.22 saya mengetik ulasan ini belum ada resepsionis lain yg selesai istirahat. Pelayanan macam apa ini.,2025-10-02
1416,pakia aplikasi pln mobil makin simpel.,2025-10-02
1417,Petugas PLN ramah,2025-10-02
1418,mantaaaf jiwa🌟🌟🌟🌟🌟yg bicara,2025-10-02
1419,sangat baik dan cepat tanggap untuk semua keluhan kami,2025-10-02
1420,PLN mobile mantap...,2025-10-02
1421,pln mobile sangat membantu,2025-10-02
1422,mudah lapor gangguan disini pln mobile memang mudah,2025-10-02
1423,bisa proses pasang baru pake aplikasi ini bisa terhindar dari calo,2025-10-02
1424,aplikasinya makin bagus,2025-10-02
1425,pengaduan di pln mobile mudah,2025-10-02
1426,pln mobile mantap sekali,2025-10-02
1427,aplikasi pln mobile sangat baik,2025-10-02
1428,cepat dalam pelayanan,2025-10-02
1429,pelayanan cepat petugas sangat ramah,2025-10-02
1430,sangat cepat tanggap,2025-10-02
1431,PLN sangat membantu,2025-10-02
1432,lebih mantab lagi kalau potongan admin Rp.500 aja,2025-10-02
1433,dengan PLN mobile semua semakin mudah untuk kita lapor tidak perlu datang ke kantor PLN penangan sangat cepat sukses selalu PLN mobile 💪😊,2025-10-02
1434,Sempet gak kluar tokennya pas pembelian Tapi petugasnya gercep langsung d bantu kasih token yang macet ituu Terima kasih PLN 🔥🔥🔥,2025-10-02
1435,dengan pln mobile rumah saya serta tetangga saya nyala kembali,2025-10-02
1436,PLN memang jossss,2025-10-02
1437,makasih PLN mobile..... gangguan sekarang gak perlu ke kantor,2025-10-02
1438,memberikan pelayan dengan baik,2025-10-02
1439,pln mobile memang joss pelayan nya,2025-10-02
1440,Memuaskan! Saya chat dibalas cepat dan VOILA selesai dalam waktu beberapa jam sajaa ❤️🤗☺️,2025-10-02
1441,mantap tenan pokok e..,2025-10-02
1442,pelayanan sangat ramah,2025-10-02
1443,aplikasi sangat membantu.,2025-10-02
1444,petugas baik cepat respon.,2025-10-02
1445,makasih PLN listrik udah nyala,2025-10-02
1446,Alhamdulillah apps ini metode dan cara pembayaran mulai mudah. NAMUN sepertinya fasilitas CATAT METER pada apps ini hanya sekedar pelengkap karena ketika akan membayar tagihan disana belum terdapat berapa nilai pemakaian meter yang telah digunakan oleh pelanggan sehingga berpengaruh pada nilai tagihan seharusnya Valid menjadi TIDAK JELAS. Mohon diperbaiki ke depan agar tidak ada yang dirugikan atau terdholimi. Terima kasih atas kemajuan dan layanan terbaiknya bagi negeri ini. NO KORUPSI,2025-10-02
1447,mau pasang baru aja di persulit ini apk guna nya apa sih sudah 4x buat permohonan pasang baru tapi di tolak terus dengan alesan lokasi alamat tidak terbaca system padahal itu titik sudah jelas dan di detail alamat sudah jelas bahkan di percobaan kedua pakai alamat bukan pakai titik tapi di ketik manual namun pas melanjutkan untuk permohonan di detail pelanggan alamat nya berubah jadi titik koordinat nah nanti system nolak lagi dengan alesan alamat tidak terbaca udah gak bisa berkata kata lagi,2025-10-02
1448,trf sisa saldo lebih dari 1X24 jam pelayanan macam apa,2025-10-02
1449,mohon maaf..Sudi kira nya dibantu kalo untuk login kembali kenapi harus verifikasi data email-nya.kan sudah terdata di sistem operasi kalian.,2025-10-02
1450,aplikasi nya bagus banget bung ....makasih pln mobile,2025-10-02
1451,Sangat membantu sekali dan memudahkan membayar tagihan listrik trima kasi PLN mobile.,2025-10-02
1452,pln.mobile layanan terbaik dalam pasang baru dan lain lain joos,2025-10-02
1453,setelah dan sebelum update tidak bisa melakukan pembayaran (payment method not found) mohon diperbaiki update : sudah bisa untuk menu pembayarannya,2025-10-02
1454,Pelayanan cepat dan memuaskan,2025-10-02
1455,setelah update tambah g jelas aplikasi registrasi pasang baru dari jam 10 pagi sampai skrg jam 15.26 tidak ada email kode konfirmasi/ferifikasi masuk. trs buat tambah daya selalu jawaban idpel tidak ditemukan. parah,2025-10-02
1456,sangat membantu dan mudah,2025-10-02
1457,fast respon pokoknya mantap👍👍👍👍,2025-10-02
1458,lebih mudah buat cek tagihan listrik,2025-10-02
1459,pln maju bersama pelanggan oke....,2025-10-02
1460,bagus sangat membantu pelanggan,2025-10-02
1461,mantap .....Discoutnya. Kanggen ....Discount lagii......,2025-10-02
1462,Dengan pln mobile kebutuhan listrik lebih mudah,2025-10-02
1463,PLN SEMAKIN BAIK PELAYANAN NYA..MAJU TERUS PLN...BRAVO...,2025-10-02
1464,Pln mobile mempermudah transaksi bayar listrik untuk saya dan keluarga,2025-10-02
1465,aplikasi pln mobile sangat bermanfaat buat kami prlanggan pln,2025-10-02
1466,semua semakin mudah,2025-10-02
1467,sangat simpel dan mudah digunakan,2025-10-02
1468,pln mobile semakin mudah untuk membuat pengaduan dan keluhan bisa dari rumah saja,2025-10-02
1469,pln mobile memberikan solusi untuk masalah kelistrikan ..pelayanan cepat dan responsif,2025-10-02
1470,Pln terbaik dan terdepan dalam menerangi,2025-10-02
1471,bisaaa bayar listrik,2025-10-02
1472,Hai bos kenapa aplikasi saya ngga bisa d buka dan d pakai,2025-10-02
1473,jaya selalu pln,2025-10-02
1474,setiap pelayanan ada lebih ada kurang . dengan pln mobile sedikit tidak nya sudah membantu pelanggan dalam mengatasi pelayanan kelistrikan indonesia,2025-10-02
1475,pengaduan lewat aplikasi respon sangat lambat,2025-10-02
1476,semakin memudahkan dalam pengisian daya listrik mobil khusus daerah selatan. tolong tambah lagi SPKLU nya supaya tidak antri. tahu sendiri kalau isi biasa satu jam lebih. terimakasih,2025-10-02
1477,aplikasi yang membuat penguna semakin mudah,2025-10-02
1478,sederhana tapi penting kasih tanda centang jika sudah ada pembayaran/lunas di riwayat transaksi. jadi bisa tau tagihan bulan lalu memang sudah dibayarkan atau tidak. saya kasih bintang 5 jika sudah update lagi,2025-10-02
1479,aplikasi pln mobile membantu untuk pelopran gangguan,2025-10-02
1480,pelayanan pln mobile sangat mantap .,2025-10-02
1481,mantap pln mobail,2025-10-02
1482,pelayanan cepat dan memuaskan... mantap,2025-10-02
1483,Mantap PLN Mobile ada PV rooftop. Terima kasih.,2025-10-02
1484,penanganan menjadi cepat+lapor jadi mudah,2025-10-02
1485,Pelayanan sudah bagus mohon dimaksimalkan lagi ... terimakasih,2025-10-02
1486,apk tolol lemot mau nambah id meteran gak bisa jelas jelas sudah terdaftar,2025-10-02
1487,Trimakasih PLN Mobile.........,2025-10-02
1488,Alhamdulillah..listrik sudah kembali normal dengan petugas cepat datang.trimakasih,2025-10-02
1489,Sangat baik dan pelayanan cepat,2025-10-02
1490,Pelayanan sangat memuaskan..,2025-10-02
1491,PLN mobile terbaik,2025-10-02
1492,update nya sangat membantu dan memudahkan untuk mengakses layanan pln,2025-10-02
1493,Pln mobile tercepat dalam pelayanan pelanggan 👍👍👍,2025-10-02
1494,menjadi perusahaan kelas Dunia dan dapat menikmati semua pelayanan hanya dalam satu genggaman,2025-10-02
1495,sangat mudah dan cepat respon,2025-10-02
1496,aplikasi nya Bagus sangat membantu sekali buat saya dan keluarga,2025-10-02
1497,Sangat membantu pelanggan PLN,2025-10-02
1498,aplikasi PLN mobile sangat bagus dan sangat membantu masyarakat tentang listrik,2025-10-02
1499,Kuy gaess download aplikasi PLN Mobile. Fitur2 di PLN Mobile tambah banyak kuy lah tambah keren aja ini aplikasinya,2025-10-02
1500,aplikasi pln mobile sangat bagus 🔥🔥,2025-10-02
1501,aplikasinya sangat membantu. semakin lengkap semakin mantap buat pelanggan,2025-10-02
1502,Sangat membantu Semua transaksi berjalan lancar aman dan terkendali,2025-10-02
1503,PLN mobile bikin hidup lebih muda untuk urusan listrik,2025-10-02
1504,Aplikasi PLN Mobile memudahkan transaksi. Mantap.,2025-10-02
1505,pln mobile terbaik cepat mengatasi ganguan,2025-10-02
1506,Dengan Aplikasi ini pelaporan listrik padam menjadi semakin mudah. Petugas menjadi lebih cepat dalam menindaklanjuti pelaporan,2025-10-02
1507,Respon petugas cepat tanggap setelah pembuatan laporan pengaduan via pln mobile. Mantap dan tetap dipertahankan👍,2025-10-02
1508,trimah kasih sangat cepat tamggap,2025-10-02
1509,pemasangan sementara jd mudah tdk perlu pergi ke kantor PLN👍,2025-10-02
1510,PLN mobile luar biasa mksh atas pelayanan,2025-10-02
1511,Semua makin mudah dengan 1 aplikasi.,2025-10-02
1512,Dengan PLN Mobile bisa lapor stand secara mandiri. Terima kasih PLN,2025-10-02
1513,PLN 👍 Top. PLN Mobile semakin mudah untuk di gunakan sangat membantu membeli token prabayar dan adanya Promo sangat puasa sekali.,2025-10-02
1514,Admin Live Chat membantu👍,2025-10-02
1515,Fitur2nya jadi mkin lengkap dan memudahkan pelanggan,2025-10-02
1516,ko skrg apk pln mobael tdak bsa ngaring reting ke petugas pelayanan,2025-10-02
1517,PLN Mobile makin ok,2025-10-02
1518,Mudah digunakan aplikasinya.,2025-10-02
1519,semakin josss dan makin mudahh dan makin may laip,2025-10-02
1520,sangat membantu dan memudahkan,2025-10-02
1521,Mempermudah saya untuk melakukan pembayaran tagihan rekening dan pembelian token prabayar,2025-10-02
1522,untuk pln mobile memang sangat membantu untuk pengaduan dan mohon dapat di lampirkan juga hasil atau bukti laporannya,2025-10-02
1523,Aplikasi yang sangat membantu... kerenn Bangettt...,2025-10-02
1524,pelayanan sangat baik terima kasih pln,2025-10-02
1525,tambah mudah untuk bertransaksi PLN 👍,2025-10-02
1526,makin lengkap aplikasi nya. banyak event run juga keren ..,2025-10-02
1527,Fiturnya semakin lengkap dan memudahkan pelanggan untuk pelaporan gangguan,2025-10-02
1528,semua jadi termudahkan👍👍👍,2025-10-02
1529,👍makin ajib banyak fitur terbaru,2025-10-02
1530,Mantap. Dengan aplikasi ini kami lebih mudah jika ada kendala kelistrikan sangat rekomendasi. Terima kasih PLN,2025-10-02
1531,makin lengkap fiturenya,2025-10-02
1532,Fitur2nya lebih lengkap...semua lebih mudah hanya dalam satu aplikasi saja...PLN mobile.,2025-10-02
1533,oke penanganan nya cepet,2025-10-02
1534,PLN Mobille 👍,2025-10-02
1535,Aplikasi bagus 👍👍👍👍👍👍👍👍,2025-10-02
1536,Aplikasi PLN Mobile makin mantab👍👍👍👍,2025-10-02
1537,PLN keren terbaik,2025-10-02
1538,Sangat membantu melakukan pengecekan rekening dan histori pembelian token,2025-10-02
1539,Aplikasinya membantu banget...,2025-10-02
1540,sangat mudah dan membantu,2025-10-02
1541,Aplikasi sangat membantu sekali.,2025-10-02
1542,Aplikasi ini sangat bermanfaat untuk membantu pelanggan PLN .. Terima kasih PLN Mobile 👍👍 Good ... Good ... Good,2025-10-02
1543,ok bgus lumayan cepat,2025-10-02
1544,PLN mobile 👍,2025-10-02
1545,banyak promo tambah dayanya,2025-10-02
1546,Makin mempermudah pelanggan baik yang pascabayar ataupun prabayar jadi gak perlu pindah ke aplikasi lain,2025-10-02
1547,pln mobile oke bangetts,2025-10-02
1548,PLN MOBILE SEMUA JADI LEBIH MUDAH...👍,2025-10-02
1549,Semakin mudah untuk menggunakan aplikasinya,2025-10-02
1550,semakin maju selalu hebat dalam perkembangannya...semangat,2025-10-02
1551,sangat bagus sekali PLN. mantap dah,2025-10-02
1552,transaksi sangat mudah dan cepat,2025-10-02
1553,PLN Mobile banyak menu baru,2025-10-02
1554,menjadi lebih praktis,2025-10-02
1555,Aplikasi PLN MOBILE sangat² bermanfaat & membantu bgt. Fiturny lengkap n aksesnya makin mudah & cepat... Mantap...!!,2025-10-02
1556,mantab bisa bayar tagihan jd gampang,2025-10-02
1557,Aplikasi nya sangatlah mempermudah pelanggan,2025-10-02
1558,sangat disarankan karna mempermudah,2025-10-02
1559,Terima kasih PLN Mobile,2025-10-02
1560,canggih dan mudahndigunakan,2025-10-02
1561,makin mudah dg pln mobile,2025-10-02
1562,Terima kasih PLN Mobile atas kemudahan dalam melapor perihal gangguan kelistrikan,2025-10-02
1563,Aplikasi pln mobile membantu buat laporan listrik lebih mudah mantap,2025-10-02
1564,Aplikasi PLN mobil menjadikan pelanggan menjadi lebih mudah 👍👍,2025-10-02
1565,aplikasinya memudahkan pengguna untuk melaporkan gangguan dan keluhan kelistrikan. serta program menarik seperti promo tambah daya dapat dilihat pada aplikasi ini.informasi event juga lengkap di aplikasi ini,2025-10-02
1566,semakin canggih aplikasi pln mobile,2025-10-02
1567,semakin update dgn fiture baru,2025-10-02
1568,sangat membantu dan memudahkan pengguna untuk masalah listrik.. terima kasih ya,2025-10-02
1569,terimakasih PLN mobile selalu membantu dimana saja saya berada ketika mati lampu,2025-10-02
1570,dengan adanya PLN mobile semakin memudahkan pelanggan dalam membeli token dan membayar listrik paskabayar dan prabayar tanpa perlu datang ke loket PPOB begitu juga dengan laporan keluhan pelanggan gak perlu ke kantor PLN cukup dengan pakai PLN Mobile...,2025-10-02
1571,sangat cepat terstasi,2025-10-02
1572,aplikasi pengaduan yang sangat membantu kalo ada pemadaman,2025-10-02
1573,Aplikasi PLN Mobile sangat bagus dan membantu memudahkan pelanggan dalam menggunakan layanan kelistrikan lebih cepat..,2025-10-02
1574,Aplikasi sangat membantu bisa laporan sangat mudah,2025-10-02
1575,ok dan keren sangat membantu,2025-10-02
1576,pelayanan cepat dan mudah,2025-10-02
1577,oke... banyak manfaatnya. terimakasih.,2025-10-02
1578,Aplikasi sangat keren,2025-10-02
1579,Alhamdulillah.good job.versi baru ..tambah joss...fitur lebih lengkap.. mantab mempermudah pekerjaan ..joss..mantab boss👍👍👍,2025-10-02
1580,Terima kasih PLN sudah menerangi negeri. semoga bisa ke seluruh Indonesia.. PLN 👌,2025-10-02
1581,PLN Mobile semakin banyak fitunya dan promo2nya sehingga makin betah menggunakan PLN mobil karena gampang juga penggunaannya,2025-10-02
1582,setelah update info terbaru terbaca. bug hilang.,2025-10-02
1583,PLN mobile makin hebat,2025-10-02
1584,Sudah saya update aplikasinya jadi semakin cepat dan semakin banyak promonya dan hadiah tukar poin,2025-10-02
1585,Semoga lebih banyak voucher potongan bayar tagihan.. 😊,2025-10-02
1586,Aplikasinya mudah digunakan,2025-10-02
1587,Semuanya sudah makin mudah dgn aplikasi PLN Mobile. Ayo buruan download ! Mantap 👍,2025-10-02
1588,Aplikasinya sangat memudahkan pelanggan untuk mengakses seluruh informasi listrik,2025-10-02
1589,Aplikasi mudah dan fitur lebih lengkap.,2025-10-02
1590,dengan PLN Mobile segalanya jadi lebih mudah,2025-10-02
1591,semua semakin mudah 🤟🤟,2025-10-02
